coin,fundingRate,premium,time
ETH,0.00007993,-0.00022007,1683878400388
ETH,0.0001,-0.00014013,1683907200253
ETH,0.0001,0.00000414,1683936000278
ETH,0.0001,0.00016165,1683964800255
ETH,0.0001,0.00004157,1683993600054
ETH,-0.00028528,-0.00058528,1684022400087
ETH,-0.00040088,-0.00070088,1684051200271
ETH,-0.00041477,-0.00071477,1684080000380
ETH,-0.00036521,-0.00066521,1684108800374
ETH,-0.00037949,-0.00067949,1684137600045
ETH,-0.00036251,-0.00066251,1684166400409
ETH,-0.0003666,-0.0006666,1684195200447
ETH,-0.00034969,-0.00064969,1684224000126
ETH,-0.00011264,-0.00041264,1684252800731
ETH,-0.00013429,-0.00043429,1684281600067
ETH,-0.00007876,-0.00037876,1684310400279
ETH,0.0001,-0.00018037,1684339200024
ETH,0.0001,0.00000183,1684368000048
ETH,0.0001,0.00012365,1684396800038
ETH,0.0001,0.00003722,1684425600052
ETH,0.0001,0.00016529,1684454400026
ETH,0.0001,0.00003084,1684483200158
ETH,0.0001,0.00005679,1684512000396
ETH,0.0001,-0.00013052,1684540800029
ETH,0.00009982,-0.00020018,1684569600111
ETH,0.00005877,-0.00024123,1684598400345
ETH,0.00006284,-0.00023716,1684627200095
ETH,0.00004096,-0.00025904,1684656000013
ETH,0.0001,-0.00018967,1684684800088
ETH,0.00008812,-0.00021188,1684713600066
ETH,0.0001,-0.00009066,1684742400290
ETH,0.0001,-0.00010076,1684771200159
ETH,0.00004043,-0.00025957,1684800000022
ETH,-0.00048905,-0.00078905,1684830233040
ETH,-0.00073693,-0.00103693,1684857600079
ETH,-0.00066438,-0.00096438,1684886400035
ETH,-0.00067479,-0.00097479,1684915200002
ETH,-0.00055668,-0.00085668,1684944000001
ETH,-0.00057814,-0.00087814,1684972800233
ETH,-0.000206,-0.000506,1685001600374
ETH,-0.00016534,-0.00046534,1685030400209
ETH,-0.00018122,-0.00048122,1685059200136
ETH,-0.00019764,-0.00049764,1685088000044
ETH,-0.00030176,-0.00060176,1685116800180
ETH,-0.00034814,-0.00064814,1685145600015
ETH,-0.00035445,-0.00065445,1685174400106
ETH,-0.00035221,-0.00065221,1685203200044
ETH,-0.00035011,-0.00065011,1685232000362
ETH,-0.00038062,-0.00068062,1685260800081
ETH,-0.0003247,-0.0006247,1685289600156
ETH,-0.00024041,-0.00054041,1685318400082
ETH,0.0001,-0.00014948,1685347200068
ETH,0.00001277,-0.00028723,1685376000081
ETH,-0.00011298,-0.00041298,1685404800148
ETH,-0.00013194,-0.00043194,1685433600206
ETH,-0.00012562,-0.00042562,1685462400053
ETH,-0.00014767,-0.00044767,1685491200047
ETH,-0.00010435,-0.00040435,1685520000219
ETH,0.0001,-0.00019947,1685548800323
ETH,0.0001,-0.00008202,1685577600139
ETH,0.0001,0.00020427,1685606400067
ETH,0.0001,0.00024402,1685635200096
ETH,0.0001,0.0001649,1685664000428
ETH,0.0001,0.00013241,1685692800113
ETH,0.0001,0.00007199,1685721600038
