szDecimals,name,maxLeverage,funding,openInterest,prevDayPx,dayNtlVlm,premium,oraclePx,markPx,midPx,impactPxs,onlyIsolated
5,BTC,50,0.00003496,4936.61474,94692.0,1168123670.28912044,0.00062077,91822.0,91882.0,91879.5,"['91879.0', '91880.0']",
4,ETH,50,0.0000593,144346.5568,3467.8,717452730.06104982,0.00057855,3284.1,3286.0,3286.05,"['3286.0', '3286.1']",
2,ATOM,20,0.00002388,525364.68,8.0604,10254740.215836,0.00113869,7.816,7.8242,7.8257,"['7.8249', '7.8261']",
1,MATIC,20,0.0,0.0,0.37621,0.0,,0.3754,0.37621,,,
1,DYDX,20,0.0000125,1062333.0,1.5395,2478400.34651,0.0,1.4275,1.4275,1.42765,"['1.42728', '1.4283']",
2,SOL,20,0.00002696,1066638.42,239.81,319320494.74430025,0.00066062,227.06,227.24,227.215,"['227.21', '227.22']",
2,AVAX,20,0.0000125,278452.58,42.095,43760878.22904,0.00075224,41.21,41.242,41.2415,"['41.241', '41.242']",
3,BNB,20,0.0000125,19923.874,643.15,8696377.41191,0.00027935,608.56,608.76,608.765,"['608.73', '608.8']",
1,APE,20,0.00002331,2066750.4,1.327,7207151.88611,0.00121951,1.23,1.2313,1.23165,"['1.2315', '1.2318']",
1,OP,20,0.0000125,2189034.6,2.3536,11811342.85057,0.0003248,2.1552,2.1558,2.156,"['2.1559', '2.15617']",
2,LTC,20,0.0000125,46463.34,95.213,4787561.29371,0.00079226,89.87,89.942,89.9685,"['89.9412', '89.9878']",
1,ARB,20,0.0000125,4836005.4,0.93124,9082070.335543,0.00081666,0.8449,0.84525,0.84564,"['0.84559', '0.8457']",
0,DOGE,20,0.00001698,392378358.0,0.40372,154720520.57182011,0.00045242,0.37576,0.37593,0.375935,"['0.37593', '0.376036']",
1,INJ,20,0.0000125,102511.6,27.467,11686667.3363,0.00039919,29.61,29.626,29.6245,"['29.62182', '29.627']",
1,SUI,20,0.0000125,11263145.6,3.1836,61655219.65054001,-0.00023859,3.3531,3.3523,3.35215,"['3.35174', '3.3523']",
0,kPEPE,20,0.0000125,5038160558.0,0.019226,125794663.22464904,-0.00062617,0.017567,0.017557,0.017555,"['0.017553', '0.017556']",
1,CRV,10,0.0000125,9996076.4,0.53496,6167506.688806,0.0,0.47465,0.47475,0.47457,"['0.4744', '0.47477']",
1,LDO,20,0.0000125,4172240.4,1.7025,26296538.50075002,0.00083067,1.565,1.5663,1.56635,"['1.5663', '1.5664']",
1,LINK,20,0.00003564,267126.4,17.87,10050670.2764,0.0009463,16.908,16.925,16.925,"['16.924', '16.926']",
1,STX,20,0.00003762,3730401.6,2.1605,6457919.84289,0.00120901,2.043,2.0457,2.04565,"['2.04547', '2.04612']",
1,RNDR,20,0.0,0.0,6.8946,0.0,,7.03,6.8952,,,
0,CFX,20,0.0000125,4370146.0,0.18067,1167655.26839,0.0004067,0.1672,0.16727,0.167325,"['0.167268', '0.167381']",
0,FTM,20,0.0000125,28733484.0,0.95061,78994017.44259001,0.00045579,1.0224,1.0229,1.02305,"['1.022866', '1.023255']",
2,GMX,20,0.0000125,34333.06,32.228,639164.14621,0.0006755,30.2,30.235,30.2385,"['30.2204', '30.2483']",
1,SNX,20,0.0000125,200278.8,2.3025,786357.59663,0.00088445,2.103,2.1056,2.1059,"['2.10486', '2.10664']",
0,XRP,20,0.0000125,14764778.0,1.4773,80565889.08369996,0.0,1.3617,1.3619,1.36175,"['1.3617', '1.36197']",
3,BCH,20,0.00004326,8235.06,502.88,5432610.95226,0.00100312,481.5,481.94,482.01,"['481.983', '482.063']",
2,APT,20,0.00008306,1768600.32,12.092,8551619.56021,0.00106254,11.576,11.589,11.5905,"['11.5883', '11.593']",
2,AAVE,20,0.00003887,38024.32,181.71,13652139.62060001,0.00082227,170.26,170.43,170.42,"['170.4', '170.4406']",
2,COMP,20,0.0000125,4182.08,69.253,776640.27919,0.00126797,62.62,62.655,62.7105,"['62.6994', '62.7247']",
4,MKR,20,0.0000125,5159.6762,1886.5,4981830.27871,0.00090533,1690.0,1691.5,1691.8,"['1691.53', '1692.0']",
1,WLD,20,0.0000125,3096768.6,2.4642,16849110.52261,0.0005735,2.2668,2.2681,2.26815,"['2.2681', '2.2682']",
1,FXS,5,0.0000125,1256180.6,3.0809,597993.71259,0.00032919,2.977,2.98,2.98075,"['2.97798', '2.98404']",
0,HPOS,3,0.0000125,251958.0,0.23509,9006.19334,0.0,0.21796,0.21569,0.218425,"['0.207097', '0.234325']",True
0,RLB,3,0.0000125,1266078.0,0.099639,165144.634599,0.0,0.12714,0.13229,0.13102,"['0.125473', '0.135801']",True
3,UNIBOT,3,0.0,0.0,7.636,0.0,,6.053,7.636,,,True
0,YGG,3,0.0000125,688650.0,0.63714,485951.88775,0.00079125,0.5763,0.57689,0.577045,"['0.576756', '0.57741']",
0,TRX,20,0.0000125,8957182.0,0.19848,1454439.64487,0.0,0.191,0.19107,0.19108,"['0.190994', '0.1911']",
0,kSHIB,20,0.0000125,240050738.0,0.025594,5640893.621455,0.00020894,0.02393,0.023933,0.023937,"['0.023935', '0.023938']",
1,UNI,20,0.00001478,361406.8,11.385,5702763.8847,0.0019943,10.53,10.541,10.5525,"['10.551', '10.554']",
0,SEI,10,0.00006688,26979806.0,0.62014,51618193.88176,0.00060412,0.6555,0.656,0.656045,"['0.655896', '0.65617']",
1,RUNE,20,0.00008475,2234972.8,5.5136,6388265.89331,0.00133682,5.169,5.1768,5.17685,"['5.17591', '5.17836']",
0,OX,3,0.0,0.0,0.007459,0.0,,0.004982,0.007459,,,True
1,FRIEND,3,0.0,0.0,4.72,0.0,,0.47734,4.72,,,True
0,SHIA,3,0.0,0.0,0.000604,0.0,,0.000209,0.000621,,,True
1,CYBER,3,0.0000125,106761.8,4.1043,310645.5496,0.00064955,3.818,3.8216,3.8229,"['3.82048', '3.82548']",
1,ZRO,5,0.00005085,2099288.6,4.3691,3845052.32873,0.0008134,4.18,4.1853,4.18375,"['4.1834', '4.1841']",
0,BLZ,5,0.0000125,1903002.0,0.13747,108636.78196,0.00069102,0.1259,0.12603,0.12613,"['0.125987', '0.126221']",
1,DOT,20,0.0000125,378345.8,8.5058,5370432.75394,0.00077899,7.959,7.9657,7.9693,"['7.9652', '7.9696']",
